配置名称,目标类别,PyTorch_x1,PyTorch_y1,PyTorch_x2,PyTorch_y2,PyTorch置信度,OpenVINO_x1,OpenVINO_y1,OpenVINO_x2,OpenVINO_y2,IoU,中心点偏移cx,中心点偏移cy
YOLOv8m PT CUDA vs OV FP32 GPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.32,416.00,416.00,0.9996,0.00,0.07
YOLOv8m PT CUDA vs OV FP32 CPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.48,416.00,416.00,1.0000,0.00,0.00
YOLOv8m PT CUDA vs OV FP16 GPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.32,416.00,416.00,0.9996,0.00,0.07
YOLOv8m PT CUDA vs OV FP16 CPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.48,416.00,416.00,1.0000,0.00,0.00
YOLOv8m PT CUDA vs OV INT8 GPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,25.35,415.67,415.67,0.9955,0.16,0.72
YOLOv8m PT CUDA vs OV INT8 CPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.48,26.38,414.46,414.49,0.9911,0.53,0.80
YOLOv8m PT CPU vs OV FP32 GPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.32,416.00,416.00,0.9996,0.00,0.07
YOLOv8m PT CPU vs OV FP32 CPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.48,416.00,416.00,1.0000,0.00,0.00
YOLOv8m PT CPU vs OV FP16 GPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.32,416.00,416.00,0.9996,0.00,0.07
YOLOv8m PT CPU vs OV FP16 CPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,26.48,416.00,416.00,1.0000,0.00,0.00
YOLOv8m PT CPU vs OV INT8 GPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.00,25.35,415.67,415.67,0.9955,0.16,0.72
YOLOv8m PT CPU vs OV INT8 CPU,Corn rust leaf,0.00,26.47,416.00,416.00,0.96,0.48,26.38,414.46,414.49,0.9911,0.53,0.80
